Date,Gross Strategy Return,Transaction Cost,Net Strategy Return,Turnover,Strategy Value
2019-06-30,0.03350558201006944,0.0006666666666666666,0.03283891534340277,1.3333333333333333,177351.59908544162
2019-07-31,0.001486058691685832,0.0,0.001486058691685832,0.0,177615.1539707469
2019-08-31,0.07248060933444403,0.0,0.07248060933444403,0.0,190488.80855757778
2019-09-30,-0.022289341796204266,0.0,-0.022289341796204266,0.0,186242.9383952862
2019-10-31,0.005528435878176492,0.0,0.005528435878176492,0.0,187272.5705379677
2019-11-30,-0.012167842041856503,0.0,-0.012167842041856503,0.0,184993.86748088928
2019-12-31,0.022483830676569484,0.0006666666666666666,0.021817164009902818,1.3333333333333333,189029.90902854607
2020-01-31,0.016756738711323844,0.0,0.016756738711323844,0.0,192197.43382276274
2020-02-29,-0.041297462697931955,0.0,-0.041297462697931955,0.0,184260.16746882893
2020-03-31,0.01875821008352333,0.0006666666666666666,0.018091543416856665,1.3333333333333333,187593.71828858854
2020-04-30,0.03399707104609535,0.0,0.03399707104609535,0.0,193971.35525704687
2020-05-31,0.004996138208170648,0.0,0.004996138208170648,0.0,194940.46295633726
2020-06-30,0.031203199537445696,0.0003333333333333333,0.03086986620411236,0.6666666666666666,200958.24896556712
2020-07-31,0.05519620744845687,0.0003333333333333333,0.05486287411512354,0.6666666666666666,211983.3960809607
2020-08-31,-0.020645747163204626,0.0,-0.020645747163204626,0.0,207606.84048267567
2020-09-30,-0.03349126621147824,0.0003333333333333333,-0.033824599544811575,0.6666666666666666,200584.6222405856
2020-10-31,-0.02032162398505081,0.0003333333333333333,-0.020654957318384144,0.6666666666666666,196441.5554294821
2020-11-30,0.07141262563402084,0.0003333333333333333,0.0710792923006875,0.6666666666666666,210404.48216785598
2020-12-31,0.04039203905693678,0.0,0.04039203905693678,0.0,218903.14822933456
2021-01-31,0.008969366703007778,0.0,0.008969366703007778,0.0,220866.57083824632
2021-02-28,0.011449580835709237,0.0003333333333333333,0.011116247502375904,0.6666666666666666,223321.7783046853
2021-03-31,0.018436141302331212,0.0,0.018436141302331212,0.0,227438.97016539835
2021-04-30,0.041335764495112004,0.0,0.041335764495112004,0.0,236840.33387316606
2021-05-31,0.0036804548495085925,0.0,0.0036804548495085925,0.0,237712.0140285288
2021-06-30,0.03151752472250028,0.0,0.03151752472250028,0.0,245204.10830750832
2021-07-31,-0.003782533418843565,0.0,-0.003782533418843565,0.0,244276.61557339743
2021-08-31,0.02331425014901356,0.0003333333333333333,0.022980916815680225,0.6666666666666666,249890.31615590557
2021-09-30,-0.03753643236934841,0.0,-0.03753643236934841,0.0,240510.3252037643
2021-10-31,0.07440173552171125,0.0003333333333333334,0.07406840218837792,0.6666666666666667,258324.5407014143
2021-11-30,0.01321624352143602,0.0003333333333333334,0.012882910188102687,0.6666666666666667,261652.5125586535
2021-12-31,0.012544360769728091,0.0,0.012544360769728091,0.0,264934.77607249503
2022-01-31,-0.05233308008567883,0.0003333333333333333,-0.05266641341901216,0.6666666666666666,250981.6116267876
2022-02-28,-0.029516769466335635,0.0006666666666666668,-0.0301834361330023,1.3333333333333335,243406.12418169246
2022-03-31,0.0127255799503041,0.001,0.0117255799503041,2.0,246260.20215117853
